la_code,la_name,region,intervention_status,n_requests,n_requests_refused,n_ehcp_active,n_plans_issued,refusal_rate_pct,timeliness_pct,n_tribunal_appeals,n_total_appealable_decisions,la_official_appeal_rate_pct,dsg_deficit_per_pupil,imd_average_score,flag_high_refusal,flag_low_timeliness,is_small_la,dsg_financial_stress_per_pupil,dsg_balance_2324,dsg_deficit_per_pupil,n_timely_plans,throughput_stress,throughput_stress_z
E09000024,Merton,London,Safety Valve,594.0,121.0,2587.0,402.0,20.37037037037037,73.9,2315.0,,2.0,,14.649,False,False,False,-319.56073144273984,41242508.0,-319.56073144273984,297.07800000000003,1.9994748853836364,-0.5066981540112594
E06000019,"Herefordshire, County of",West Midlands,,531.0,108.0,1461.0,334.0,20.33898305084746,67.4,,,,,18.89,False,False,False,-60.55323455509911,6073005.0,-60.55323455509911,225.116,2.3587839158478294,-0.4676924440258273
E09000010,Enfield,London,Delivering Better Value,1023.0,208.0,4741.0,706.0,20.332355816226784,85.4,3377.0,,2.3,,25.781,False,False,False,-65.40398666382919,14752000.0,-65.40398666382919,602.924,1.6967312629784186,-0.5395632615768037
E08000001,Bolton,North West,Safety Valve,732.0,148.0,3304.0,563.0,20.21857923497268,71.4,1712.0,,2.8,,30.691,False,False,False,-59.496577305974945,13697778.0,-59.496577305974945,401.982,1.8209770586742688,-0.5260754417255724
E10000012,Essex,East of England,,4255.0,852.0,13035.0,1833.0,20.023501762632197,16.2,9061.0,,7.8,870.0,19.7,False,False,False,38.84799113800008,-36472048.0,38.84799113800008,296.94599999999997,14.329204636533243,0.8317871666910356
E06000059,Dorset,South West,Safety Valve,881.0,175.0,3916.0,585.0,19.86379114642452,49.1,,,,280.0,15.735,False,False,False,-283.8995711017918,59573486.0,-283.8995711017918,287.235,3.0671749612686474,-0.3907912438576475
E06000051,Shropshire,West Midlands,,833.0,163.0,2496.0,720.0,19.56782713085234,37.2,1964.0,,2.6,310.0,17.153,False,False,False,-12.998871841155236,2304440.0,-12.998871841155236,267.84000000000003,3.110065710872162,-0.3861351289308082
E06000030,Swindon,South West,Delivering Better Value,548.0,107.0,2573.0,247.0,19.525547445255476,49.4,1837.0,,5.0,490.0,18.622,False,False,False,-55.86907359123078,8399580.0,-55.86907359123078,122.01799999999999,4.491140651379305,-0.23620900954556787
E09000032,Wandsworth,London,,574.0,111.0,2988.0,406.0,19.337979094076655,100.0,2162.0,,4.0,,16.611,False,False,False,-82.66153075583753,13863000.0,-82.66153075583753,406.0,1.4137931034482758,-0.5702783365087835
E09000020,Kensington and Chelsea,London,Delivering Better Value,127.0,24.0,786.0,98.0,18.89763779527559,99.0,199.0,,13.1,,21.526,False,False,False,-43.11157059314954,4128364.0,-43.11157059314954,97.02,1.3090084518655947,-0.5816535021295259
E09000025,Newham,London,Delivering Better Value,1008.0,190.0,2705.0,476.0,18.849206349206348,57.6,386.0,,17.6,,29.577,False,False,False,-49.514351534773674,12724000.0,-49.514351534773674,274.17600000000004,3.6764705882352935,-0.3246476000695979
E06000032,Luton,East of England,,578.0,108.0,2585.0,377.0,18.685121107266436,29.4,1855.0,,1.5,,25.908,False,False,False,30.45496371484134,-5136656.0,30.45496371484134,110.838,5.214818022699796,-0.15764836320645506
