priority_rank,la_name,region,intervention_status,need_type,facility_type,lead_time,typical_places,gap_pp,gap_abs_children,dist_nearest_maintained_km,demand_growth_to_2030,pct_placements_independent,indep_cost_2030_m,risk_score
225,Bath and North East Somerset,South West,No intervention,MLD,Resourced provision unit / SEN unit,1–2 years,10–25,9.6,237,19.6,1.93,13.4,10.6,0.19
226,Wakefield,Yorkshire and The Humber,Delivering Better Value,SLD,Resourced provision unit / SEN unit,1–2 years,10–25,7.3,282,19.2,1.61,15.2,20.5,0.09
227,Sheffield,Yorkshire and The Humber,Delivering Better Value,MLD,New maintained special school,4–6 years,80–150,3.7,220,25.6,2.05,5.5,15.6,0.34
228,Trafford,North West,Delivering Better Value,MLD,Resourced provision unit / SEN unit,1–2 years,10–25,10.1,317,14.8,1.66,7.2,4.4,0.18
229,Windsor and Maidenhead,South East,No intervention,ASD,Resourced provision unit / SEN unit,1–2 years,10–25,43.8,588,8.3,0.97,22.7,13.3,0.05
230,"Herefordshire, County of",West Midlands,No intervention,MLD,New maintained special school,4–6 years,80–150,10.0,172,46.6,2.05,10.7,7.7,0.06
231,Thurrock,East of England,Safety Valve,MLD,Resourced provision unit / SEN unit,1–2 years,10–25,14.4,361,13.5,1.46,6.6,4.7,0.08
232,Ealing,London,No intervention,SEMH,Resourced provision unit / SEN unit,1–2 years,10–25,12.0,485,3.9,1.65,15.9,32.7,0.17
233,Middlesbrough,North East,Delivering Better Value,MLD,New maintained special school,4–6 years,80–150,7.6,153,69.9,2.05,10.2,13.1,0.03
234,Enfield,London,No intervention,SEMH,Resourced provision unit / SEN unit,1–2 years,10–25,13.1,651,9.0,0.92,7.2,8.1,0.69
235,West Northamptonshire,East Midlands,No intervention,SEMH,Resourced provision unit / SEN unit,1–2 years,10–25,7.2,298,7.0,2.05,15.6,36.3,
236,Harrow,London,No intervention,SEMH,Resourced provision unit / SEN unit,1–2 years,10–25,10.7,288,6.5,2.05,23.5,28.4,0.53
237,County Durham,North East,No intervention,SLD,Resourced provision unit / SEN unit,1–2 years,10–25,4.3,232,18.0,2.05,4.3,6.9,0.45
238,Shropshire,West Midlands,Safety Valve,SLD,New maintained special school,4–6 years,80–150,5.1,154,42.3,2.05,22.6,23.8,0.15
239,Worcestershire,West Midlands,Safety Valve,SLD,New maintained special school,4–6 years,80–150,2.6,181,27.4,2.05,17.2,63.1,0.36
240,West Northamptonshire,East Midlands,No intervention,ASD,Resourced provision unit / SEN unit,1–2 years,10–25,6.1,255,10.0,2.05,15.6,36.3,
241,Blackburn with Darwen,North West,Delivering Better Value,SEMH,New maintained special school,4–6 years,80–150,14.1,215,15.7,2.05,15.0,9.0,0.03
242,Kent,South East,Safety Valve,SLD,New maintained special school,4–6 years,80–150,1.7,341,22.7,1.08,19.1,246.5,0.99
243,Southampton,South East,Delivering Better Value,MLD,Resourced provision unit / SEN unit,1–2 years,10–25,11.5,320,17.4,1.42,3.8,2.0,0.07
244,Barnet,London,No intervention,MLD,Resourced provision unit / SEN unit,1–2 years,10–25,7.7,333,4.9,2.05,13.2,15.7,0.09
245,Southwark,London,No intervention,MLD,Resourced provision unit / SEN unit,1–2 years,10–25,10.0,355,7.8,1.58,12.3,6.6,0.53
246,Camden,London,No intervention,ASD,Resourced provision unit / SEN unit,1–2 years,10–25,42.7,686,1.8,1.61,17.8,11.0,0.04
247,Lambeth,London,No intervention,SEMH,Resourced provision unit / SEN unit,1–2 years,10–25,14.2,471,4.7,1.5,9.1,4.2,0.21
248,Halton,North West,Delivering Better Value,SEMH,Resourced provision unit / SEN unit,1–2 years,10–25,25.0,428,6.9,1.31,15.7,13.7,0.29
249,Southend-on-Sea,East of England,Safety Valve,MLD,Resourced provision unit / SEN unit,1–2 years,10–25,14.0,279,8.3,2.05,2.3,2.5,0.03
250,Sutton,London,No intervention,ASD,Resourced provision unit / SEN unit,1–2 years,10–25,14.9,384,2.9,2.05,20.2,14.5,0.05
251,Newcastle upon Tyne,North East,Delivering Better Value,MLD,New maintained special school,4–6 years,80–150,5.8,180,25.6,2.05,3.9,6.7,0.74
252,Bracknell Forest,South East,Safety Valve,SEMH,Resourced provision unit / SEN unit,1–2 years,10–25,17.6,291,12.4,1.29,27.1,16.8,0.26
253,Surrey,South East,Safety Valve,ASD,Resourced provision unit / SEN unit,1–2 years,10–25,1.9,312,7.1,1.5,25.7,194.3,0.91
254,Sheffield,Yorkshire and The Humber,Delivering Better Value,ASD,Resourced provision unit / SEN unit,1–2 years,10–25,16.7,996,0.8,2.05,5.5,15.6,0.34
255,Brent,London,No intervention,SEMH,Resourced provision unit / SEN unit,1–2 years,10–25,10.7,406,7.6,1.24,13.6,22.7,0.21
