la_code,la_name,region,intervention_status,pct_ASD_now,pct_SEMH_now,pct_MLD_now,pct_SLD_now,pct_SLCN_now,total_ehcp_now,supply_pct_ASD,supply_pct_MLD,supply_pct_Other,supply_pct_SEMH,supply_pct_SLCN,supply_pct_SLD,pct_ASD_1516,pct_SEMH_1516,pct_MLD_1516,pct_SLD_1516,asd_gap,semh_gap,mld_gap,mismatch_index,asd_demand_shift,semh_demand_shift,indep_per_ehcp,log_indep_per_ehcp
E06000031,Peterborough,East of England,Safety Valve,12.9,13.0,21.9,0.5,35.3,2908,15.81081081081081,25.810810810810807,49.05405405405405,9.324324324324325,0.0,0.0,26.490630323679724,7.666098807495741,25.2129471890971,9.028960817717206,-2.91081081081081,3.6756756756756754,-3.9108108108108084,3.6756756756756754,-13.590630323679724,5.333901192504259,3080.6853333333333,8.03290736203827
E08000037,Gateshead,North East,Delivering Better Value,35.5,21.3,14.3,3.5,15.8,1923,,,,,,,,,,,,,,,,,2120.3042704626337,7.659314881170632
E09000013,Hammersmith and Fulham,London,No intervention,44.4,13.7,6.7,1.8,23.7,1779,26.65985699693565,0.0,34.72931562819203,0.0,38.61082737487232,0.0,36.36363636363637,5.983889528193326,8.400460299194476,4.833141542002301,17.74014300306435,13.7,6.7,31.44014300306435,8.036363636363632,7.716110471806673,4118.479411764706,8.323239299404309
E06000055,Bedford,East of England,No intervention,24.9,17.4,17.3,3.7,26.7,2170,30.48780487804878,0.0,41.920731707317074,0.0,0.0,27.59146341463415,23.097112860892388,11.548556430446194,10.892388451443571,16.141732283464567,-5.587804878048782,17.4,17.3,17.4,1.802887139107611,5.851443569553805,2141.8493944181146,7.669424937806608
E09000014,Haringey,London,No intervention,46.5,13.0,11.1,1.0,18.0,2954,15.155615696887686,0.0,84.84438430311232,0.0,0.0,0.0,43.33868378812199,7.865168539325842,5.617977528089887,4.654895666131622,31.344384303112314,13.0,11.1,44.344384303112314,3.1613162118780096,5.134831460674158,4176.193081539004,8.337155364494343
E06000056,Central Bedfordshire,East of England,No intervention,31.1,23.0,10.5,2.6,23.8,4035,0.0,14.393939393939394,28.57142857142857,13.744588744588745,43.290043290043286,0.0,30.823737821080606,15.057573073516387,11.33746678476528,17.006200177147917,31.1,9.255411255411255,-3.8939393939393945,40.355411255411255,0.27626217891939575,7.942426926483613,2013.7969500141205,7.607777248937772
E08000018,Rotherham,Yorkshire and The Humber,Delivering Better Value,35.4,23.1,12.7,1.3,17.2,3623,0.0,0.0,46.59188955996549,12.079378774805868,12.94219154443486,28.386540120793786,29.67032967032967,8.791208791208792,19.13919413919414,8.608058608058608,35.4,11.020621225194134,12.7,46.42062122519413,5.729670329670327,14.30879120879121,3934.035045317221,8.277420907225853
E06000047,County Durham,North East,No intervention,41.3,19.6,13.6,4.3,11.9,5390,53.51783927975992,0.0,35.47849283094365,11.003667889296432,0.0,0.0,25.54054054054054,16.486486486486488,16.666666666666664,14.504504504504503,-12.217839279759922,8.59633211070357,13.6,8.59633211070357,15.759459459459457,3.1135135135135137,2789.4481226394137,7.933599049743735
E06000002,Middlesbrough,North East,Delivering Better Value,24.2,26.9,7.6,11.8,18.0,2019,19.148936170212767,0.0,26.559060895084375,24.944974321349964,0.0,29.347028613352897,26.748466257668714,19.263803680981596,7.975460122699387,17.177914110429448,5.051063829787232,1.9550256786500348,7.6,7.006089508437267,-2.5484662576687143,7.636196319018403,3865.91452991453,8.25995355137969
E09000018,Hounslow,London,Delivering Better Value,42.3,12.7,21.1,4.1,9.9,3382,48.80952380952381,0.0,44.24603174603175,0.0,6.944444444444445,0.0,31.532258064516128,10.64516129032258,9.193548387096774,12.983870967741936,-6.509523809523813,12.7,21.1,12.7,10.767741935483869,2.054838709677419,4036.148064516129,8.30304606675602
